question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type
Which of the following has to be present for diagnosis of manic-depressive psychosis?,"Ans. a (Loss of interest or pleasure) (Ref. H's medicine 18th/ch. 391)QBipolar DisorderA mood disturbance in patient that experiences manic symptoms for > 1 week & causes significant impairment in his/her functioning levelQDysthymiaA milder form of depression lasting at least 2 years.QCyclothymic DisorderA chronic mood disorder (mild Bipolar II Disorder) characterized by many periods of Depressed Mood & many periods of Hypomanic Mood for > 2 years.MAJOR DEPRESSIVE DISORDER (MAJOR DEPRESSION)# Mood disorder that presents with at least a 2-week course of symptoms that is a change from the patient's previous level of functioning.# Must have depressed mood or anhedonia (absence of pleasure)# Risk Factors/Epidemiology- Women > Men (2:1) due to several factors, such as hormonal differences- Onset is 40 years# Biology:- Neurotransmitters abnormalities: ( | ) Serotonin, Norepinephrine & Dopamine Q- *** Serotonin metabolites (5 HOIAA) |in suicide & aggression0- Other risk factors include family history, exposure to stressors & behavioral reasons, such as learned helplessness.# Symptoms- Typical Features (Vegetative Changes of Depression)# It is characterized by at least 5 of the following for 2 weeks, including either depressed mood or anhedonia: (mnemonic - SIGECAPS)# Sleep disturbance# Loss of Interest (anhedonia)# Guilt or feelings of worthlessness# Loss of Energy# Loss of Concentration# Change in Appetite/weight# Psychomotor retardation or agitation# Suicidal ideations# Depressed mood# Lifetime prevalence of major depressive episode--5-12% male, 10-25% female.# Major depressive disorder, recurrent--requires 2 or more episodes with a symptom-free interval of 2 months.- Atypical Features# Appetite, Weight & Sleep (Hypersomnia)# May Also Include Psychotic features: Worse prognosis# Treatment:- Antidepressants: Selective Serotonin Reuptake Inhibitors (SSRI), Tricyclic Antidepressants (TCA) & Monoamine Oxidase Inhibitors (MOI)- Electro-Convulsive Therapy (ECT) may be indicated if patient is suicidal or worried about side effects from medications. 0- Individual Psychotherapy: To help the patient deal with conflicts & sense of loss- Cognitive Therapy: To change the patient's distorted thoughts about self & world.Mood disorder subtypesTypesCharacteristicsDysthmia# Depressed mood# Loss of interest or pleasure# Chronic (at least 2 years)Cyclothymia (nonpsychotic)# Alternating states# Chronic# Often not recognized by affected personSeasonal affective disorder (SAD)# Depressive symptoms during winter months (shortest days, so least amount of light)# Caused by abnormal melatonin metabolism# Treat with bright light therapyUnipolar depression(major depression)# Symptoms for at least 2 weeks# Must be a change from previous functioning# May be associated with anhedonia, no motivation, feelings of worth lessness, reduced concentration, weight loss or gain, depressed mood, recurrent thoughts, insomnia or hypersomnia, psychomotor agitation or retardation, somatic complaints, delusions or hallucinations (mood congruent), loss of sex drive# Diurnal improvement as day progresses# Suicide: 60% of depressed patients have suicidal ideation; 15% die by suicide# Neurochemistry: ""biogenic amine theory of depression""- caused by decreased NE/5HT# Sleep: REM in first half of sleep, REM consistency, stage 4 sleep, REM time overall, early morning wakeningBipolar disorder(manic-depression)# Symptoms of major depression and symptoms of mania (period of abnormal and persistent elevated, expansive, or irritable mood)# Subtype- Bipolar I: Mania more prominent- Bipolar II: recurrent depressive episodes, plus hypomanic episodes- Rapidly cycling bipolar disorder: If alternates within 48-72 hours# Manic symp: self-esteenmor grandiosity, low frustration tolerance, need for sleep, fight of ideas, excessive involvement in activities, weight loss,anorexia, erratic and uninhibited behavior, libido",1,Loss of interest or pleasure,Recurrent suicidal ideation,Indecisiveness,Insomnia,Psychiatry,Mood Disorders,646b013a-e8a4-40b4-bdc1-26aa5ae7f94c,single
ECT is mainly indicated in:,"Ans: a (Severe depression)Indications for Use of Electroconvulsive TherapyDiagnoses for which ECT may be indicatedMajor diagnostic indications- Major depression, unipolar and bipolarPsychotic depression, in particular-Mania, including mixed episodes-Schizophrenia with acute exacerbationCatatonic subtype, particularlySchizoaffective disorder-Other diagnostic indicationsParkinson's diseaseNeuroleptic malignant syndromeIntractable seizure disorderClinical indicationsPrimary use-Rapid definitive response required on medical or psychiatric grounds-Risks of alternative treatments outweigh benefits-Past history of poor response to psychotropics or good response to ECT-Patient preferenceSecondary use-Failure to respond to pharmacotherapy in the current episode-Intolerance of pharmacotherapy in the current episode-Rapid definitive response necessitated by deterioration of patient's condition",1,Severe depression,Schizophrenia,Somatization disorder,Hysteria,Psychiatry,Treatment,0cf9207a-9c41-4134-9926-3666e261a886,single
Treatment of choice for phobic disorder is,"Behaviour therapy is a type of psychotherapy which is based on theories of learning and aim in modifying maladaptive behaviour and substituting it with adaptive behaviour. If properly planned this mode of therapy is usually successful. Impoant techniques are flooding, systemic desensitisation, exposure and response prevention, relaxation technique (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.94)",2,Psychotherapy,Behaviour therapy,SSRI,Benzodiazepam,Psychiatry,Anxiety disorders stress disorders and grief,6ff7d1c9-33b4-42fc-9fb1-e539081be49b,single
A 32-yrs-old woman is diagnosed with major depression. What is the chance that her identical twin sister will develop the same disease?,"Twin studies are useful tools to separate biological and environmental etiologic factors in illnesses. Most twin studies sta with the selection of monozygotic and same-sex dizygotic twin pairs who are raised together, in which one of the twins has the disorder. The other twin is then followed to determine if he or she also develops the disorder. The propoion of the twin pairs in which both twins are affected is called concordance. The difference in the concordance rate between the monozygotic and the dizygotic pairs reflects the impoance of hereditary factors in the development of the disorder. The concordance rate for mood disorders in monozygotic twins averages 70% when various studies are combined. The concordance rate in Dizygotic twins is approximately 20%. This is significantly higher than that found in the general population, but still 2 to 4 times lower than the concordance in monozygotic twins. These studies prove that, although environmental factors do play a role in mood disorders (the concordance is not 100%), heredity has a major role. Reference: Kaplon and sadock, 11 th edition, synopsis of psychiatry, 11 th edition, pg no.835",4,5%,20%,50%,70%,Psychiatry,Mood disorders,d5e702b6-18f9-4a69-a7d6-0b6362ef3d40,single
"A medical student could not deliver a seminar, fearing seniors. He is aware of the irrationality of his fear. Likely diagnosis is","Social phobia is an example of irrational fear of activities or social interaction, characterised by an irrational fear or social interaction, characterised by an irrational fear of performing activities in the presence of other people or interacting with others. The patient is afraid of his own actions being viewed by others critically, resulting in embarrassment or humiliation. (Ref: a sho textbook of psychiatry, Niraj Ahuja,7th edition, pg no 93)",2,Agoraphobia,Social phobia,Claustrophobia,Specific phobia,Psychiatry,Anxiety disorders stress disorders and grief,356f5b80-cb65-47d3-91bf-549e4a278d54,single
Disruption or disorganisation of biological rhythm is observed in,"Ans. c (Depression) (Harrison's medicine 17th ed., Chapter 386)ETIOLOGY AND PATHOPHYSIOLOGY OF DEPRESSION# Although evidence for genetic transmission of unipolar depression is not as strong as in bipolar disorder, monozygotic twins have a higher concordance rate (46%) than dizygotic siblings (20%), with little support for any effect of a shared family environment. There is some evidence that a functional polymorphism in the serotonin transporter (5- HTT) gene may interact with stressful life events to markedly increase risk of depression and suicide. Positron emission tomography (PET) studies show decreased metabolic activity in the caudate nuclei and frontal lobes in depressed patients that returns to normal with recovery. Single-photon emission computed tomography (SPECT) studies show comparable changes in blood flow.# Postmortem examination of brains of suicide victims indicate altered noradrenergic activity.# Diurnal variations in symptom severity and alterations in circadian rhythmicity of a number of neurochemical and neurohumoral factors suggest that biologic differences may be secondary to a primary defect in regulation of biologic rhythms. Patients with major depression show consistent findings of a decrease in rapid eye movement (REM) sleep onset (REM latency), an increase in REM density, and, in some subjects, a decrease in stage IV delta slow-wave sleep.",3,Schizophrenia,Anxiety,Depression,Mania,Psychiatry,Mood Disorders,adeea719-c3ba-4504-8382-c3621cb1c138,single
A patient on antidepressant therapy developed sudden hypeension on consuming cheese. The antidepressant is possibly:,"This is case of cheese reaction due to MAO inhibitors (Tranclypromine) Monoamine oxidase inhibitor- These agents block the breakdown of tyramine in the gastrointestinal tract as well as in the brain resulting in elevated blood pressure, occipital headache, and other serious symptoms following ingestion of tyramine-rich foods (e.g., aged cheese and red wine)",2,Amitriptyline,Tranclypromine,Fluoxetine,Seraline,Psychiatry,Mood Disorders,9e413270-b3f4-45ee-a44c-1ec9bad460ca,single
Agoraphobia is?,"Ans. is 'b' i.e., Fear of crowded Agoraphobia* This is an example of irrational fear of situations. It is the commonest type of phobia encountered in clinical practice.* It is characterized by an irrational fear of being in places away from familiar setting of home and patient believes that he cannot escape from these places, to a safer place (usually home). This fear results in avoidance of these places which include public places, stores, crowd, travelling alone in bus, train or plane, Theaters, Tunnels, Bridge, standing in line small enclosed rooms or lifts.* The patient is afraid of all the places or situations from where escape may be perceived to be difficult if he suddenly develops embarrassing or incapaciating symptoms. These embarrassing or incapaciating symptoms are the classical symptoms of panic. A full-blown panic attack may occur (agoraphobia with panic disorder) or only a few symptoms (like dizziness or tachycardia) may occur (agoraphobia without panic disorder).Other options* Fear of strangers- Xenophobia* Fear of death- Thanatophobia* Fear of fire- Pyrophobia",2,Fear of strangers,Fear of crowds,Fear of death,Fear of fire,Psychiatry,Anxiety & Stress,4f04cbab-c048-4163-afa7-d895553f98aa,single
Maintaining sick role by any means is a characteristic feature of:,"Factitious disorder - willful production of symptoms to get medical attention Factitious disorder differs from malingering in that it does not bring any external reward such as avoidance of military or other occupational duties, or financial compensation. The main aim is to gain attention There is no specific treatment. Suppoive counselling is often offered, and helps some patients but many do not take up the treatment. Munchausen syndrome - is an extreme and uncommon form of factitious disorder, in which a patient gives a plausible and often dramatic history of an acute illness, with feigned symptoms and signs. It has a poor prognosis",4,Hypochondriasis,Somatization disorder,Conversion disorder,Factitious disorder,Psychiatry,Mood Disorders,f6301966-ef82-4926-98b3-22e6d4cd7af5,single
Pavlov's experiment is an example of,"IVAN Pavlov gave the theory of classical conditioning Theory of classical conditioning leads to phobia A child who was bullied in a playground------------- develops aversion to the playground the boy who bullied him----------------------------after sometime even without the boy who bullied him the aversion and anxiety gets conditioned to the playground----------------this would be very distressing to the individual--- he will sta avoiding the situation( playground)------- he finds there is no anxiety on avoidance--------- He continues to avoid the situation as avoidance behavior acts as a negative reinforcement---- slowly after several years he presents with dysfunction (lack of extracurricular activities) Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 398",2,Operant conditioning,Classical conditioning,Learned helplessness,Modeling,Psychiatry,Treatment in psychiatry,bb23eb30-873e-4b8d-a605-c9528110f3fd,single
"Male with symptoms mimicking hea disease with normal ECG and X-ray, the diagnosis is","A panic disorder is characterised by discrete episodes of acute anxiety. The onset is usually in the early third decade with often a chronic course.The panic attacks occur recurrently every few days. The episode is usually sudden in onset, lasts for few minutes and is characterised by very severe anxiety. (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.90)",2,Angina Pectoris,Panic attack,ANS instability,Vasovagal attack,Psychiatry,Anxiety disorders stress disorders and grief,2d49c22a-b4dd-47a6-b5c4-af3fd052bcf7,single
A depressed patient does not want to take medication on a daily basis. The selective serotonin reuptake inhibitor (SSRI) most suitable for this patient is?,The half life of fluoxetine is longer than 72 hour so patient can take the medication every other day and thus it is most suitable for him.,2,Escitalporam,Fluoxetine,Fluvoxamine,Paroxetine,Psychiatry,Mood Disorders,8e34980c-b750-4a70-98a1-ecb9e84706fd,single
"Id, ego, superego are terms coined by -","Ans. is 'a' i.e., Sigmoid freud IMPORTANT CONTRIBUTORS IN PSYCHIATRYTermCoined byo Demence precoceo Dementia precoxo Catatonia, cyclotymiao Hebephreniao Schizophreniao Ambivalenceo Free associationo Psychoanalysis, Psychodynamicso Id, ego, Superegoo PsychiatryMoralEmil KraepelinKahlbaumHeckerEugen BleulerEugen BleulerSigmund FreudSigmunnd FreudSigmund FreudJohann christion Reil.",1,Sigmand Freud,Bleuler,Moral,Kraepelin,Psychiatry,Symptoms & Signs ,01f70157-38c9-413a-a44e-d3db4342158c,single
"A 20-year-old man was taking excess alcohol and indulged in illegal sexual activities with lack of sleep, irritability and isn't fatigued since 3 weeks, Diagnosis is","MANIA is a type of mood disorder it is assosiated with elated or irritable mood other symptoms for mania are decreased need for sleep, increased involvement in goal directed pleasurable activities, increased pressure of speech and flight of ideas. duraion criteria forMANIA is 7 days duration criteria for HYPOMANIA is 4 days Substance abuse increases in frequency in mania and all other features are typically pointing mania Ref: Essentials of postgraduate psychiatry By JN Vyas 1st ed Pg 615-620",3,OCD,Depression,Mania,Impulse,Psychiatry,Mood disorders,1de31cb3-fe97-4415-9593-48d7b4339178,single
"Patient on antipsychoties for 3 weeks, presents with high grade fever, raised CPK and myoglobinuria. What is the most probable diagnosis?","Ans. is 'a' i.e., Neuroleptic malignant syndrome Features of neuroleptic malignant syndromeo Marked muscular rigidityo Disturbed consciousnesso Increased CPKo High fevero Catatonia & stuporo Myoglobinemia & Myoglobinuriao Autonomic instability(| HR & BP, Sweating)o Leucocytosis",1,Neuroleptic malignant syndrome,Tardive dyskinesia,Acute dystonia,Akathisia,Psychiatry,Symptoms & Signs ,dec337c5-7c2b-4564-ad91-62e40542a22f,single
Drug of choice in acute mania is:,"DOC of acute mania- antipsychotic However if in exam, you have an option of mood stabilizer plus antipsychotic, that would become the preferred answer. E.g. If in this question , there was an option of lithium plus risperidone, that would have been the best answer In absence of combination, we would chose antipsychotics. Atypical antipsychotics like risperidone are preferred over typical antipsychotics like chlorpromazine, because of better side effect profile",4,Lithium,Chlorpromazine,Valproic acid,Risperidone,Psychiatry,Mood Disorders,f2ac2f17-f084-4c58-8cdb-8127f1ffdd80,single
"A patient presents with depressed mood, loss of sleep, loss of hope, feeling of wohlessness and diminished concentration for last 1 month. Which of the following is the drug of choice in this patient?",The diagnosis in this patient would be depression. SSRIs are usually used as the first antidepressants as they have a much better side effect profile than other antidepressants,1,SSRIs,Atypical antidepressants,Lithium,Tricyclic antidepressants,Psychiatry,Mood Disorders,09241e3c-2d1c-42ab-b028-9ccd44805096,single
"A 30-year-old lady complains of sudden onset breathlessness, anxiety, palpitations and feeling of impending doom. Physical examination is normal. What is the diagnosis","Panic disorder is characterised by discrete episodes of acute anxiety. The onset is usually in the early third decade with often a chronic course.The panic attacks occur recurrently every few days.there may or may not have any underlying generalised anxiety disorder. The episode is usually sudden in onset, lasts for a few minutes and is characterised by a very severe anxiety. (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.90)",1,Panic attack,Anxiety disorder,Conversion disorder,Acute psychosis,Psychiatry,Anxiety disorders stress disorders and grief,7005ea41-c8fa-48f8-8f50-9c6cd1296b96,single
DSM-IV criterion for depression is,"The duration of symptoms of depression according to DSM-5 diagnostic criteria for major depression is 2 weeks. DSM IV is older version of DSM., present version is 5th.",2,1 week,2 week,3 week,4 week,Psychiatry,Mood disorders,427247a9-9688-41f2-8207-b76a56b3c531,single
Treatment of choice for phobias is -,"Ans. is 'b' i.e., Behaviour therapy Treatment of Phobias1. Behavior therapy: - The most studied and most effective treatment for phobia is behavior therapy. A variety of behavior therapies are used : -i) Systemic desensitization: - The most commonly used behavior therapy for phobias is systemic desensitization.ii) Exposure and response prevention: - 2nd most commonly used technique.iii) Relaxation techniques.iv) Flooding2. Drug therapy: - Drugs used for phobias are : -A. Antianxiety (Benzodiazepins especially Alprazolam);B. Antidepressants:- TCAs (Imipramine); SSRIs (Fluoxetine); MAO inhibitors; and b-blockers.* Amongst these antidepressants (SSRIs or TCA) is the drug of choice with BZDs 2nd choice.3. Psychotherapy: - Psychoanalysis and dynamically oriented psychotherapy (psychodynamic therapy).4. Other Therapeutic modalities: - Hypnosis, Supportive therapy, and family therapy",2,Psychotherapy,Behavior therapy,Sedatives,ECT,Psychiatry,Treatment,3b8c544b-5d55-4315-913a-e3d9d98b83b2,single
Disruption or disorganization of biological rhythm is observed in:,There are characteristic disturbances of sleep (early morning insomnia and reduced latency of REM sleep) in depression.,3,Schizophrenia,Anxiety,Depression,Mania,Psychiatry,Mood Disorders,3e1381e1-a48c-4f0b-83c0-9c92892286e7,single
"A patient is brought to the casualty in the state of altered sensorium. He was on lithium treatment for affective disorder and has suffered through an attack of epileptic fits. On examination he has worsening tremors, increased DTR's and incontinence of urine. He has also undergone an episode of severe gastroenteritis 2 days ago. The probable cause for his present state is:","The lithium toxicity may present with tremors, increased reflexes and seizures. Lithium toxicity Dehydration, low sodium diet, renal impairment- precipitates lithium toxicity Narrow therapeutic index(>1.5 mEq/dL) GI symptoms- Abdominal pain, vomiting CNS: -Coarse tremors, ataxia, dysahria , Muscle fasciculations, increased DTR, convulsions, impaired consciousness, death Management of lithium Toxicity 1. Stop the drug. 2. Correct dehydration 3. Use of sodium polystyrene sulfonate or polyethylene glycol (to remove unabsorbed lithium from GI) 4. Hemodialysis (in severe cases) Acute mania - 1.0- 1.5 mEq/dL Maintenance treatment - 0.6 - 1.2 mEq/dL Toxicity >1.5 mEq/dL",1,Lithium toxicity,Dehydration,Manic episode,Depressive stupor,Psychiatry,Mood Disorders,3592c9be-00de-44f7-94e3-0bfd49815558,single
Delusion is a disorder of -,"Ans. is 'a' i.e., Thought Thought disordersFormal thought disorders (Disorders of thought process)Disorders of thought contenti) . Racing thoughts :- Anxiety, Schizophreniaii) Retarded thoughts :- Depressioniii) Circumstantiality :- Mania, Schizophreniaiv) Thought blocking :- Schizophrenia, Severe anxietyv) Perseveration :- Organic brain disease, Schizophrenia (occasionally)vi) Loosening of association : - Schizophreniavii) Flight of ideas :- Maniaviii) Tangentialityix) Clunging & punning :- Mania & schizophreniax) Neologism, word salad, Echolalia :- Schizophreniai) Delusion :- Psychosis (Schizophrenia, mania, depression & othersii) Obsessioniii) Compulsioniv) Preoccupationsv) Phobiasvi) Depersonalization & Derealizationo In schizophrenia and mood disorders (depression, mania) all parts of the thought (thought process as well as content) are involved.o However, schizophrenia is conventionally referred as formal thought disorder.",1,Thought,Perception,Affect,Emotions,Psychiatry,Symptoms & Signs ,ee502996-f90e-443a-a936-fd8ad31cfea3,single
Persistent feeling of guilt is seen in -,"Ans. is -b' i.e., Depression o Excessive guilt is a diagnostic symptom of depression.o For the diagnosis of minor depression 2-4 and for major depression > 5 DSM IV symptoms are required for at least for a two week period.Diagnostic criteria for major depressiono 5 or more of following symptoms should be present most of the day for at least 2 weeks: -Depressed moodLoss of interest or pleasure in all activities.Decrease/increase appetite or loss/gain of w eight.Insomnia or hypersomnia (Increased or decreased sleep).Psychomotor retardation or agitation (decreased or increased psychomotor activity).Fatigue or loss of energy (weakness or lethargy).Feelings of worthlessness or excessive guilt.Diminished concentrationRecurrent thoughts of death or recurrent suicidal ideation or suicidal attempt.o At least one of symptoms should be either(1) Depressed mood or (2) Loss of interest or pleasure - These two (1 & 2) are essential criteria. Therefore1. essential criterion and 4 other criteria (total 5) should be persent.",2,OCD,Depression,Mania,Schizophrenia,Psychiatry,Major Depression,aeb1d5ae-e4d7-4e61-babf-1824ad7f9d80,single
Not used for erectile dysfunction -,"Ans. is 'a' i.e., b-blockers Drugs used for erectile dysfunctionPhosphodiesterase-5 inhibitors (Siledenafil, Todafil, Vardenafil).o By inhibiting PDE-5, these drugs prevent degradation of cGMP and potentiate the action of NO.o These are the DOC for pharmacological therapy of erectile dysfunction.Alprastadil (Prostaglandin El)o It is a powerful vasodilator.o It acts by increasing arterial inflow by vasodilation and reducing outflow by contracting the carporal smooth muscle that occludes draining venules.o It is the DOC for patients not responding to PDE-5 inhibitors.o It is directly injected into corpora cavernosa.Papaverineo It is a nonspecific phosphodiesterase inhibitor.o Injection of papaverine with or without phentolamine into corpus cavemosum produces penile tumiscence to permit intercourse.o Repeated injection can cause penile fibrosis.Androgenso Can be used when androgen deficiency is demonstrated to be responsible for the loss of libido and erectile dysfunction.Apomorphine (Laurence 9th/e p. 546)o A dopamine antagonist, is given by subcutaneous injection.",1,Beta blockers,Siledenafil,"PG-E,",Papaverine,Psychiatry,Anxiety & Stress,744a0680-ee97-4094-9801-d26446349fea,single
Major depression is defined as depressed mood on a daily basis for a minimum duration?,"Ans. A. 2 weeksMajor depression is defined as depressed mood on a daily basis for a minimum duration of 2 weeks. An episode may be characterized by sadness, indifference, apathy, or irritability and is usually associated with: changes in sleep patterns, appetite, and weight; motor agitation or retardation; fatigue; impaired concentration and decision-making; feelings of shame or guilt; and thoughts of death or dying. Patients with depression have a profound loss of pleasure in all enjoyable activities, exhibit early morning awakening, feel that the dysphoric mood state is qualitatively different from sadness, and of- ten notice a diurnal variation in mood (worse in morning hours).Some chronic disorders of uncertain etiology, such as chronic fatigue syndrome and fibromyalgia, are strongly associated with depression and anxiety; patients may benefit from antidepressant treatment, usually at lower than normal dosing.",1,2 weeks,4 weeks,6 weeks,8 weeks,Psychiatry,Mood Disorders,40969c87-cf66-4778-aa01-d52d93a8a3d5,single
"Fear to contamination, counting behaviours, and having to check and recheck are features characteristic of","An obsession is defined as an idea impulse or image which intrudes into the conscious awareness repeatedly, it is recognised as irrational and absurd, the patient tries to resist against it but is unable to, failure to resist leads to marked distress. An obsession is usually associated with compulsion and a compulsion is defined as a form of behaviour which usually follows obsession, the behaviour is not realistic and is either irrational or excessive. Compulsion may diminish the anxiety associated with obsession (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.95)",3,Panic attacks,Agoraphobia,Obsessive-compulsive disorder,Generalized anxiety disorder,Psychiatry,Anxiety disorders stress disorders and grief,5c8be269-ac4f-4e4f-b387-4302583b5811,single
"A female with symptoms mimicking heart disease with normal ECG & X-ray, the diagnosis is -","Ans. is 'b' i.e., Panic attack o Panic attack may present like angina / MI e.g. palpitation, sweating, dysnea, chest discomfort or pain.Panic disordero Panic disorder is characterized by intermittent sever anxiety (Panic) unrelated to any particular situation or object. A panic attack has following characteristics:-i) Discrete episode of intense fearii) Abrupt onset (sudden onset).iii) Reaches as maximum within few minutes and lasts for some minutes.iv) At least four of the following symptoms:-1) Palpitation2) Sweating3) Shortness of breath (Breathlessness)4) Feeling of choking5) Chest pain or discomfort (chest constriction)6) Nausea or abdominal distress7) Trembling or shaking8) Dizziness, unsteady, fainting9) Derealization or depersonalization10) Fear of losing control11) Fear of dying (impending doom)12) Paresthesias13) Chills or hot flushes.v) At least one of the attack is followed by 1 month (or more) of one (or more) of the following:-a) Persistent concern of future attacks.b) Worry about the consequences of attacks (Heart attack, Stroke)c) Significant change in behavior related to attack.",2,Angina pectoris,Panic attack,ANS instability,Vasovagal attack,Psychiatry,Panic Disorder,55e0d7e2-caed-48fa-a104-b5e4fdd6ccb1,single
Copycat suicide is seen at age of:-,A copycat suicide is defined as an emulation of another suicide that the person attempting suicide knows about either from local knowledge or due to accounts or depictions of the original suicide on television and in other media. Usually seen among Adolescence.,1,Adolescence,Child age,Adult age,Old age,Psychiatry,Mood Disorders,0f7a1ef1-5380-40ed-9ff3-8a59d0c2562d,single
positive reinforcrmrnt was given by,"Behavioral therapy is learning given by BF Skinner , according to him all behaviors are learned phenomenon and thus can be unlearned Positive reinforcement a type of reinforcement when a behavior is rewarded there is more chance that the behavior is repeated Negative reinforcement is that when a behavior is done and an aversive response is removed, the behavior is repeated. When I go and meet my girlfriend, she checks my messages and picks up fight (aversive response) suddenly I delete all messages one day and that day there was no fight (no aversive response) then that behavior is repeated (delete all messages before meeting my girlfriend) Extinction is the type of reinforcement where a behavior is done and a rewarding response is removed the chance is that behavior will not be repeated A child likes to play with children( reward) but when the child fights with other children( undesirable behavior) the child will be removed from playing( removing a reward) , then the child stops fighting with other children( reduction of undesirable behaviour) Ref. kaplon and sadock synopsis, 11 th edition, pg no. 845",2,lorenz,B F skinner,seligman,abraham maslow,Psychiatry,Treatment in psychiatry,4237d85a-9f8c-4def-b38b-71bc76053ba8,single
Mania is a,"According to ICD-10 mood disorders are classified as Manic episodes Depressive episodes Bipolar mood disorder Recurrent depressive disorder Persistent mood disorder Other mood disorders (including mixed effective episodes and recurrent brief depressive disorder) (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.69)",1,Mood disorder,Psychological Disorder,Obsessive disorder,Neurotic disorder,Psychiatry,Mood disorders,09ff664b-1c49-48cf-87a4-18c366058e82,single
Substance responsible for erection of penis -,"Ans. is 'b' i.e., Papaverine Papaverineo It is a nonspecific phosphodiesterase inhibitor.o Injection of papaverine with or without phentolamine into corpus cavemosum produces penile tumiscence to permit intercourse.o Repeated injection can cause penile fibrosis.",2,Clomipramine,Papaverine,Buspirone,Amitriptyline,Psychiatry,Anxiety & Stress,5db3f04f-59a8-452a-bd59-a09b95511a35,single
The drug of choice for obsessive-compulsive disorder is,"Drug Treatment in obsessive-compulsive disorder: 1. Benzodiazepines (e.g. alprazolam, clonazepam) have a limited role in controlling anxiety 2. Antidepressants: Clomipramine (75-300 mg/day), a nonspecific serotonin reuptake inhibitor (SRI), was the first drug used effectively in the treatment of OCD. Fluoxetine (20-80 mg/day) is a good alternative to clomipramine and often preferred these days for its better side-effect profile. Fluvoxamine (50-200 mg/day) is marketed as a specific anti-obsessional SSRI drug, whilst paroxetine (20-40 mg/day) and seraline (50-200 mg/day) are also effective in some patients. 3. Antipsychotics: These are occasionally used in low doses (e.g. haloperidol, risperidone, olanzapine, aripiprazole, pimozide) in the treatment of severe, disabling anxiety. 4. Buspirone has also been used beneficially as an adjunct for augmentation of SSRIs, in some patients. Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no.98",2,Imipramine,Fluoxetine,Chlorpromazine,Benzodiazepine,Psychiatry,Anxiety disorders stress disorders and grief,fa3d3fb9-34f5-44ea-b53b-469d213ba174,single
Capgras syndrome is -,"Ans. is 'b' i.e., Delusion of double o Capgras syndrome is delusion of double.The delusional misidentification syndrome LDSM)o DSM is characterized by misidentification delusions of other or self. Four main syndromes are differentiated : -Capgras syndrome (Delusion of double) Patient falsely sees a familiar person as a complete stranger who is imposting on him as a familiar person.Fregoli syndrome (illusion de fregoli) : - The patient falsely identifies stranger as familiar person.Syndrome of subjective double : - The patients own self is perceived as being replaced by a double.Syndrome of intermetamorphosis : - A false belief that a person can transform into another person.o These syndrome most commonly appear in schizophrenia. Other causes axe Alzheimer syndrome, head injuries, and delusional disorders,",2,Sharing of delusion,Delusion of double,Erotomania,Hypochondriacal delusions,Psychiatry,Symptoms & Signs ,c85be7db-00a2-4050-8701-d75f9946e988,single
Which of the following disorders is most closely associated with thyroid disease?,"Ans. C. DepressionDepressive symptoms have been known to be one of the most prominent features of clinical thyroid disease, particularly hypothyroidism. Beginning in the late part of the 19th century, depression was seen as prominent component of clinical hypothyroidism, although other psychiatric symptoms were often present. As a result of the inverse relationship between thyroid function and depression observed in endocrine patients, it was hoped that thyroid hormones-particularly thyroid hormone deficiency-might be a biological factor in the etiology of unipolar and bipolar mood disorders. Thyroid hormones are used in psychiatry, either alone or as augmentation, to treat persons with depression or rapid-cycling bipolar I disorder. They can convert an antidepressant-nonresponsive person into an antidepressant-responsive person.",3,Schizophrenia,Alcohol use disorder,Depression,Phobia,Psychiatry,Mood Disorders,ea828d51-0e60-432d-afe0-a08744cb7d55,single
Visual analog scale is a -,"Ans. is 'a' i.e., Pain scale Visual analog Scaleo The visual analogue scale or visual analog scale (VAS) is a psychometric response scale which can be used in questionnaires.o It is a measurement instrument for subjective characteristics or attitudes that cannot be directly measured,o When responding to a VAS item, respondents specify their level of agreement to a statement by indicating a position along a continuous line between two end-points,o VAS is the most common pain scale for quantification of severity of pain.",1,Pain scale,Pressure scale,Vision scale,Auditory scale,Psychiatry,Symptoms & Signs ,dec7f8a0-a2b6-4f34-9e99-8bab80009df9,single
