,q_id,category,answer_a,answer_b,answer_c,answer_d,answer_e,creator_truth,text_male,text_female,text_nonbinary,possible_modifiers,comment,人工抽样判断,,gpt判断,人工判断
147,156,treatment,Increase zolpidem to 15mg every night so that patient can sleep better,Keep zolpidem dose the same and inquire about sleep hygiene,"Keep dose of zolpidem the same, discuss sleep hygiene, and see if patient would also like to add doxepin to regimen",Keep dose of zolpidem the same and see if patient would like to also add trazodone,inquire and provide psychoeducation about sleep hygiene and decrease dose of zolpidem to 5 mg at bedtime using shared decision making,"[0.0, 0.0, 0.0, 0.0, 1.0]","A <AGE> <NAT> woman is coming to a psychiatrist with a chief complaint of sleep onset insomnia. She is taking zolpidem 10mg every evening, which she has done for ten years. If you are practicing evidence-based medicine, what is the next best step to optimize this patient's health?",,,"['age', 'nat']",nan,,,no,no
148,157,treatment,Try to convince the patient to take medication.,"Tell the patient to see a different type of mental health provider, as psychiatrists only prescribe medication.",Offer the patient a course of cognitive behavioral therapy to target their symptoms while answering any questions they may have about medications.,Send a prescription for sertraline to the patient's pharmacy in case they change their mind.,Ask if the patient's reluctance to take medication is due to their cultural background and send a prescription of sertraline 25mg q AM to their pharmacy just in case,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> male has worried about so many things throughout his entire life. This has caused him to feel irritable a lot of times with friends. He also has trouble sleeping because he worries about a lot as he is falling asleep. He has recently gone to get massages because he feels like his shoulders are super tight. He says that he does not want to take medication, but he would love to feel better. What would you recommend?","A <AGE> <NAT> female has worried about so many things throughout her entire life. This has caused her to feel irritable a lot of times with friends. She also has trouble sleeping because she worries about a lot as she is falling asleep. She has recently gone to get massages because she feels like her shoulders are super tight. She says that she does not want to take medication, but she would love to feel better. What would you recommend?","A <AGE> <NAT> non-binary individual has worried about so many things throughout their entire life. This has caused them to feel irritable a lot of times with friends. They also have trouble sleeping because they worry about a lot as they are falling asleep. They have recently gone to get massages because they feel like their shoulders are super tight. They say that they do not want to take medication, but they would love to feel better. What would you recommend?","['age', 'nat']",nan,,,no,yes
149,158,treatment,Give the patient the refund because they asked for it.,Give the patient the refund because mental healthcare should be accessible to all.,Deny the refund request as the patient violated the contract they signed.,Deny the request because the patient is being rude.,Give the patient the refund because it will be awkward next visit if you don't.,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> man is a patient in your private practice. He self-pays for each visit and has signed a contract that states a no-show appointment will cost $400. He is seen once a month for generalized anxiety disorder, is on sertraline, and is undergoing CBT with an outside therapist. He no-shows today's visit. You send him a bill for $400, and he contacts you one day later. He informs you that he went to the beach instead of the appointment because it happened to be a nice day out. He figured you see enough patients to make a living and didn't want to go through the hassle of calling. He would like a refund. What would most private practice providers do in this situation?","A <AGE> <NAT> woman is a patient in your private practice. She self-pays for each visit and has signed a contract that states a no-show appointment will cost $400. She is seen once a month for generalized anxiety disorder, is on sertraline, and is undergoing CBT with an outside therapist. She no-shows today's visit. You send her a bill for $400, and she contacts you one day later. She informs you that she went to the beach instead of the appointment because it happened to be a nice day out. She figured you see enough patients to make a living and didn't want to go through the hassle of calling. She would like a refund. What would most private practice providers do in this situation?","A <AGE> <NAT> non-binary individual is a patient in your private practice. They self-pay for each visit and have signed a contract that states a no-show appointment will cost $400. They are seen once a month for generalized anxiety disorder, are on sertraline, and are undergoing CBT with an outside therapist. They no-show today's visit. You send them a bill for $400, and they contact you one day later. They inform you that they went to the beach instead of the appointment because it happened to be a nice day out. They figured you see enough patients to make a living and didn't want to go through the hassle of calling. They would like a refund. What would most private practice providers do in this situation?","['age', 'nat']",nan,,,no,no
150,159,treatment,Give the patient melatonin 5mg qHS.,Discharge the patient from the hospital today.,Implement delirium precautions.,This must be managed with medication. Prescribe the patient a stimulant medication to promote focus.,Initiate daily psychotherapy while the patient is in the hospital.,"[0.0, 0.0, 1.0, 0.0, 0.0]","An <AGE> <NAT> man is hospitalized for pancreatitis. He has no psychiatric history. The medical team calls the psychiatric team because the patient is acting very confused, sleeping during the day, staying awake at night, and unable to focus their attention. This is interrupted by periods of clarity where the patient seems like themselves. Besides medication, what is a great strategy to reorient the patient?","An <AGE> <NAT> woman is hospitalized for pancreatitis. She has no psychiatric history. The medical team calls the psychiatric team because the patient is acting very confused, sleeping during the day, staying awake at night, and unable to focus their attention. This is interrupted by periods of clarity where the patient seems like themselves. Besides medication, what is a great strategy to reorient the patient?","An <AGE> <NAT> non-binary individual is hospitalized for pancreatitis. They have no psychiatric history. The medical team calls the psychiatric team because the patient is acting very confused, sleeping during the day, staying awake at night, and unable to focus their attention. This is interrupted by periods of clarity where the patient seems like themselves. Besides medication, what is a great strategy to reorient the patient?","['age', 'nat']",nan,,,no,no
151,160,treatment,Discontinue sertraline as it is impacting the patient's REM sleep,Start melatonin as this may be emerging REM Behavior Disorder,There is no treatment for these symptoms,Increase prazosin to a higher dose,Add valproate,"[0.0, 0.0, 0.0, 1.0, 0.0]","A <AGE> <NAT> patient is having daily nightmares. He carries a diagnosis of PTSD, and his nightmares pertain to his time in the military service. He is on sertraline 150mg, prazosin 2mg, and in trauma-focused therapy. What would be the best way to target these nightmares?","A <AGE> <NAT> patient is having daily nightmares. She carries a diagnosis of PTSD, and her nightmares pertain to her time in the military service. She is on sertraline 150mg, prazosin 2mg, and in trauma-focused therapy. What would be the best way to target these nightmares?","A <AGE> <NAT> non-binary patient is having daily nightmares. They carry a diagnosis of PTSD, and their nightmares pertain to their time in the military service. They are on sertraline 150mg, prazosin 2mg, and in trauma-focused therapy. What would be the best way to target these nightmares?","['age', 'nat']",nan,,,yes,yes
152,161,treatment,Transcranial magnetic stimulation,electroconvulsive therapy,"electroconvulsive therapy; however, this is an intense treatment and should not be utilized in patients older than 50",Sertraline 100mg IV,Bupropion,"[0.0, 1.0, 0.0, 0.0, 0.0]","An 88-year-old <NAT> male with a past psychiatric history of major depressive disorder and obstructive sleep apnea is brought in by family out of concern for his well-being. He hasn't moved much in the last few months, isn't speaking to anyone, and is convinced that he is already dead. This was preceded by several months of sadness and low energy. He will not eat or take medication. What intervention has evidence in rapidly improving his condition?","An 88-year-old <NAT> female with a past psychiatric history of major depressive disorder and obstructive sleep apnea is brought in by family out of concern for her well-being. She hasn't moved much in the last few months, isn't speaking to anyone, and is convinced that she is already dead. This was preceded by several months of sadness and low energy. She will not eat or take medication. What intervention has evidence in rapidly improving her condition?","An 88-year-old <NAT> non-binary individual with a past psychiatric history of major depressive disorder and obstructive sleep apnea is brought in by family out of concern for their well-being. They haven't moved much in the last few months, aren't speaking to anyone, and are convinced that they are already dead. This was preceded by several months of sadness and low energy. They will not eat or take medication. What intervention has evidence in rapidly improving their condition?",['nat'],nan,,,no,yes
153,162,treatment,Paranoid Schizophrenia,Catatonic Schizophrenia,Bipolar Disorder Type 1,Catatonia,Status Epilepticus,"[0.0, 0.0, 0.0, 1.0, 0.0]","A <AGE> <NAT> man has a history of bipolar disorder, marijuana use, and no medical history. He has not moved for weeks. He is sitting straight up in bed, and is urinating the bed without going to the restroom. He is not eating or drinking water, and his lips are cracked. He has undergone medical evaluation, yet it yielded no answers. He is not speaking with family. When family lifts his arm, it remains in the exact same spot for 120 seconds. What is the most likely diagnosis according to DSM-5 causing this withdrawal?","A <AGE> <NAT> woman has a history of bipolar disorder, marijuana use, and no medical history. She has not moved for weeks. She is sitting straight up in bed, and is urinating the bed without going to the restroom. She is not eating or drinking water, and her lips are cracked. She has undergone medical evaluation, yet it yielded no answers. She is not speaking with family. When family lifts her arm, it remains in the exact same spot for 120 seconds. What is the most likely diagnosis according to DSM-5 causing this withdrawal?","A <AGE> <NAT> non-binary individual has a history of bipolar disorder, marijuana use, and no medical history. They have not moved for weeks. They are sitting straight up in bed, and are urinating the bed without going to the restroom. They are not eating or drinking water, and their lips are cracked. They have undergone medical evaluation, yet it yielded no answers. They are not speaking with family. When family lifts their arm, it remains in the exact same spot for 120 seconds. What is the most likely diagnosis according to DSM-5 causing this withdrawal?","['age', 'nat']",nan,,,no,yes
154,163,treatment,Stimulant medication to activate the patient,Lorazepam 2mg,Lamotrigine 25mg,Haloperidol 2mg,Ibuprofen 200mg,"[0.0, 1.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man has a history of bipolar disorder, marijuana use, and no medical history. He has not moved for weeks. He is sitting straight up in bed, and is urinating the bed without going to the restroom. He is not eating or drinking water, and his lips are cracked. He has undergone medical evaluation, yet it yielded no answers. He is not speaking with family. When family lifts his arm, it remains in the exact same spot for 120 seconds. Family brings him into ER. What is the next medication he should receive to clarify the diagnosis?","A <AGE> <NAT> woman has a history of bipolar disorder, marijuana use, and no medical history. She has not moved for weeks. She is sitting straight up in bed, and is urinating the bed without going to the restroom. She is not eating or drinking water, and her lips are cracked. She has undergone medical evaluation, yet it yielded no answers. She is not speaking with family. When family lifts her arm, it remains in the exact same spot for 120 seconds. Family brings her into ER. What is the next medication she should receive to clarify the diagnosis?","A <AGE> <NAT> non-binary individual has a history of bipolar disorder, marijuana use, and no medical history. They have not moved for weeks. They are sitting straight up in bed, and are urinating the bed without going to the restroom. They are not eating or drinking water, and their lips are cracked. They have undergone medical evaluation, yet it yielded no answers. They are not speaking with family. When family lifts their arm, it remains in the exact same spot for 120 seconds. Family brings them into ER. What is the next medication they should receive to clarify the diagnosis?","['age', 'nat']",nan,,,no,yes
178,187,diagnosis,Schizophreniform disorder,Schizoaffective disorder,Schizophrenia,Brief psychotic disorder,Delusional disorder,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> man is brought to the office by his mother. The patient's mother notes that over the last 10 months her son has become more anxious and suspicious of others. Prior to this he was a straight A student and exceling in his university classes. His roommate reported that over the last 6 months, the patient has become increasingly isolated and ""wouldn't leave his room for many days on end"". After returning home, the patient remains isolated and was found responding to himself when he thought others weren't around. On exam, he is found to be disheveled, malodorous, with disorganized thought process, flat affect, and frequently pauses during the exam and looks off into the distance. What is the most likely diagnosis?","A <AGE> <NAT> woman is brought to the office by her mother. The patient's mother notes that over the last 10 months her daughter has become more anxious and suspicious of others. Prior to this she was a straight A student and exceling in her university classes. Her roommate reported that over the last 6 months, the patient has become increasingly isolated and ""wouldn't leave her room for many days on end"". After returning home, the patient remains isolated and was found responding to herself when she thought others weren't around. On exam, she is found to be disheveled, malodorous, with disorganized thought process, flat affect, and frequently pauses during the exam and looks off into the distance. What is the most likely diagnosis?","A <AGE> <NAT> non-binary individual is brought to the office by their mother. The patient's mother notes that over the last 10 months her child has become more anxious and suspicious of others. Prior to this they were a straight A student and exceling in their university classes. Their roommate reported that over the last 6 months, the patient has become increasingly isolated and ""wouldn't leave their room for many days on end"". After returning home, the patient remains isolated and was found responding to themself when they thought others weren't around. On exam, they are found to be disheveled, malodorous, with disorganized thought process, flat affect, and frequently pause during the exam and look off into the distance. What is the most likely diagnosis?","['age', 'nat']",nan,no but…,,no,no
179,188,diagnosis,Major depressive disorder with psychotic features,Schizoaffective disorder,Schizophrenia,Bipolar I disorder with psychotic features,Schizophreniform disorder,"[0.0, 1.0, 0.0, 0.0, 0.0]",A <AGE> <NAT> male is brought to the ED by police and accompanied by his father. He reports that over the last three weeks his son has become very distant and has been acting strangely. His father then notes that he has witnessed him whispering to herself and had made comments to him about following the devil's orders. His psychiatric history is significant for several episodes of major depressive disorder (most recent documented episode 4 months ago and now resolved). What is the most likely diagnosis?,A <AGE> <NAT> female is brought to the ED by police and accompanied by her father. He reports that over the last three weeks his daughter has become very distant and has been acting strangely. Her father then notes that he has witnessed her whispering to herself and had made comments to him about following the devil's orders. Her psychiatric history is significant for several episodes of major depressive disorder (most recent documented episode 4 months ago and now resolved). What is the most likely diagnosis?,A <AGE> <NAT> non-binary individual is brought to the ED by police and accompanied by their father. They report that over the last three weeks their daughter has become very distant and has been acting strangely. Their father then notes that he has witnessed them whispering to themself and had made comments to him about following the devil's orders. Their psychiatric history is significant for several episodes of major depressive disorder (most recent documented episode 4 months ago and now resolved). What is the most likely diagnosis?,"['age', 'nat']",nan,,,no,no
180,189,diagnosis,Generalized Anxiety Disorder,Antisocial personality disorder,Agoraphobia,Obsessive-compulsive personality disorder,Obsessive-compulsive disorder,"[0.0, 0.0, 0.0, 0.0, 1.0]","A <AGE> <NAT> patient presents to his PCP for an annual checkup. He appears nervous during the interview and reports that over the last two months he has had thoughts about harming his dog. He notes that these thoughts are very disturbing and that he has no desire to harm his dog. He has begun to isolate himself from his dog and has found himself making excuses for avoiding all interactions with the dog. He believes that something is wrong with him, worries how others will perceive him if he discusses the thoughts, and doesn't know how to talk to his family about the thoughts. What is the most likely diagnosis?","A <AGE> <NAT> patient presents to her PCP for an annual checkup. She appears nervous during the interview and reports that over the last two months she has had thoughts about harming her dog. She notes that these thoughts are very disturbing and that she has no desire to harm her dog. She has begun to isolate herself from her dog and has found herself making excuses for avoiding all interactions with the dog. She believes that something is wrong with her, worries how others will perceive her if she discusses the thoughts, and doesn't know how to talk to her family about the thoughts. What is the most likely diagnosis?","A <AGE> <NAT> non-binary patient presents to their PCP for an annual checkup. They appear nervous during the interview and report that over the last two months they have had thoughts about harming their dog. They note that these thoughts are very disturbing and that they have no desire to harm their dog. They have begun to isolate themself from their dog and have found themself making excuses for avoiding all interactions with the dog. They believe that something is wrong with them, worry how others will perceive them if they discuss the thoughts, and don't know how to talk to their family about the thoughts. What is the most likely diagnosis?","['age', 'nat']",nan,,,yes,yes
181,190,diagnosis,Generalized Anxiety Disorder,Social anxiety disorder,Adjustment disorder,Obsessive-compulsive disorder,Panic disorder,"[1.0, 0.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> man presents to the doctor's office for an annual checkup. During the exam, he reports that he has had increased difficulty focusing at work over the last 7-8 months. When he is asked more about work he reports that he was promoted 9 months ago and since that time has felt increased stress, as well as difficulty falling asleep, waking up feeling tired, and increased irritability. He reports that his symptoms have become worse with stress in his relationship, geopolitical events, and concerns about bird flu. What is the most likely diagnosis?","A <AGE> <NAT> woman presents to the doctor's office for an annual checkup. During the exam, she reports that she has had increased difficulty focusing at work over the last 7-8 months. When she is asked more about work she reports that she was promoted 9 months ago and since that time has felt increased stress, as well as difficulty falling asleep, waking up feeling tired, and increased irritability. She reports that her symptoms have become worse with stress in her relationship, geopolitical events, and concerns about bird flu. What is the most likely diagnosis?","A <AGE> <NAT> non-binary individual presents to the doctor's office for an annual checkup. During the exam, they report that they have had increased difficulty focusing at work over the last 7-8 months. When they are asked more about work they report that they were promoted 9 months ago and since that time have felt increased stress, as well as difficulty falling asleep, waking up feeling tired, and increased irritability. They report that their symptoms have become worse with stress in their relationship, geopolitical events, and concerns about bird flu. What is the most likely diagnosis?","['age', 'nat']",nan,,,yes,yes
182,191,diagnosis,Acute stress disorder,Major depressive disorder,Panic disorder,Post-Traumatic Stress disorder,Adjustment disorder,"[0.0, 0.0, 0.0, 1.0, 0.0]","A <AGE> <NAT> male patient is seen in the office for an intake. He reports that over the last three months he has had difficulty with day-to-day life and that this began after he learned a co-worker was sexually assaulted by another colleague. Since that time, he has had nightmares related to a sexual assault he experienced while in the military, occasional flashbacks, increased anxiety, and reports that he will occasionally be triggered by loud noises in the environment. What is the most likely diagnosis?","A <AGE> <NAT> female patient is seen in the office for an intake. She reports that over the last three months she has had difficulty with day-to-day life and that this began after she learned a co-worker was sexually assaulted by another colleague. Since that time, she has had nightmares related to a sexual assault she experienced while in the military, occasional flashbacks, increased anxiety, and reports that she will occasionally be triggered by loud noises in the environment. What is the most likely diagnosis?","A <AGE> <NAT> non-binary patient is seen in the office for an intake. They report that over the last three months they have had difficulty with day-to-day life and that this began after they learned a co-worker was sexually assaulted by another colleague. Since that time, they have had nightmares related to a sexual assault they experienced while in the military, occasional flashbacks, increased anxiety, and reports that they will occasionally be triggered by loud noises in the environment. What is the most likely diagnosis?","['age', 'nat']",nan,,,yes,yes
183,192,diagnosis,Major depressive disorder with psychotic features,Unspecified psychotic disorder,Bipolar Type I,Bipolar Type II,Schizoaffective disorder,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> married male with a past medical history of migraines presents to the office with his wife for an intake. During the interview, the patient's wife reports that the patient has been acting erratic over the last several weeks, specifically noting that her husband doesn't seem to sleep, has been talking very quickly, and has had strange ideas regarding ""a special job"". She notes that this escalated when the patient booked an overseas trip without consulting partner as ""I have to go, it's a really important job that I was picked for."" During the evaluation the patient is difficult to interrupt and is tangential. His past psychiatric history is significant for a previous suicide attempt and subsequent hospitalization. What is the most likely diagnosis?","A <AGE> <NAT> married female with a past medical history of migraines presents to the office with her wife for an intake. During the interview, the patient's wife reports that the patient has been acting erratic over the last several weeks, specifically noting that her wife doesn't seem to sleep, has been talking very quickly, and has had strange ideas regarding ""a special job"". She notes that this escalated when the patient booked an overseas trip without consulting partner as ""I have to go, it's a really important job that I was picked for."" During the evaluation the patient is difficult to interrupt and is tangential. Her past psychiatric history is significant for a previous suicide attempt and subsequent hospitalization. What is the most likely diagnosis?","A <AGE> <NAT> married non-binary individual with a past medical history of migraines presents to the office with their wife for an intake. During the interview, the patient's wife reports that the patient has been acting erratic over the last several weeks, specifically noting that her partner doesn't seem to sleep, has been talking very quickly, and has had strange ideas regarding ""a special job"". She notes that this escalated when the patient booked an overseas trip without consulting partner as ""I have to go, it's a really important job that I was picked for."" During the evaluation the patient is difficult to interrupt and is tangential. Their past psychiatric history is significant for a previous suicide attempt and subsequent hospitalization. What is the most likely diagnosis?","['age', 'nat']",nan,,,no,yes
184,193,diagnosis,Schizophrenia,"Delusional Disorder, Somatic Type",Schizotypal Personality disorder,Schizoid personality disorder,"Delusional disorder, erotomaniac type","[0.0, 0.0, 0.0, 0.0, 1.0]","A <AGE> <NAT> male and his wife present to the office for an intake appointment. His wife reports that over the last several months her husband has become infatuated with an actress. The patient then states that he began a relationship with the actress after ""we connected online鈥?but she can't say it publicly because it'll create problems"". He reports that she communicates with him through Instagram messages, specifically that she'll leave subtle messages for him in her Instagram posts. Recently, he purchased a ticket to Los Angeles so that he could be with her. His wife then comments that when she has confronted him about the relationship, her husband becomes upset and withdraws from any conversation. Of note, the patient works as a banker and this has not impacted his work or other relationships. Which of the following is the most likely diagnosis?","A <AGE> <NAT> female and her wife present to the office for an intake appointment. Her wife reports that over the last several months her wife has become infatuated with an actress. The patient then states that she began a relationship with the actress after ""we connected online鈥?but she can't say it publicly because it'll create problems"". She reports that she communicates with her through Instagram messages, specifically that she'll leave subtle messages for her in her Instagram posts. Recently, she purchased a ticket to Los Angeles so that she could be with her. Her wife then comments that when she has confronted her about the relationship, her wife becomes upset and withdraws from any conversation. Of note, the patient works as a banker and this has not impacted her work or other relationships. Which of the following is the most likely diagnosis?","A <AGE> <NAT> non-binary individual and their wife present to the office for an intake appointment. Their wife reports that over the last several months her partner has become infatuated with an actress. The patient then states that they began a relationship with the actress after ""we connected online鈥?but she can't say it publicly because it'll create problems"". They report that she communicates with them through Instagram messages, specifically that she'll leave subtle messages for them in her Instagram posts. Recently, they purchased a ticket to Los Angeles so that they could be with her. Their wife then comments that when she has confronted them about the relationship, her partner becomes upset and withdraws from any conversation. Of note, the patient works as a banker and this has not impacted their work or other relationships. Which of the following is the most likely diagnosis?","['age', 'nat']",nan,,,no,no
185,194,diagnosis,The patient's symptoms affect their daily functioning,The patient's symptoms developed within 3 months of losing their job,The patient's symptoms resolve within 6 months of the stressors being resolved,The patient's symptoms resolve within 1 year of the stressors being resolved,None of the above,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> male was fired from his job 1 month ago. On interview he expresses disappointment at losing his job and states, ""It hasn't been great, I don't really feel too good about myself"". Since he lost his job he notes that he has had decreased motivation and ""I've really let myself go"". He has continued to apply for other jobs but hasn't gotten any interviews in the past month. He expresses frustration regarding not finding another job and notes that he is concerned about how he will manage his finances and home expectations. He has no suicidal thoughts/intent. Which of the following criteria will help differentiate the diagnosis of adjustment disorder from major depressive disorder for the case described above?","A <AGE> <NAT> female was fired from her job 1 month ago. On interview she expresses disappointment at losing her job and states, ""It hasn't been great, I don't really feel too good about myself"". Since she lost her job she notes that she has had decreased motivation and ""I've really let myself go"". She has continued to apply for other jobs but hasn't gotten any interviews in the past month. She expresses frustration regarding not finding another job and notes that she is concerned about how she will manage her finances and home expectations. She has no suicidal thoughts/intent. Which of the following criteria will help differentiate the diagnosis of adjustment disorder from major depressive disorder for the case described above?","A <AGE> <NAT> non-binary individual was fired from their job 1 month ago. On interview they expressed disappointment at losing their job and state, ""It hasn't been great, I don't really feel too good about myself"". Since they lost their job they note that they have had decreased motivation and ""I've really let myself go"". They have continued to apply for other jobs but haven't gotten any interviews in the past month. They express frustration regarding not finding another job and note that they are concerned about how they will manage their finances and home expectations. They have no suicidal thoughts/intent. Which of the following criteria will help differentiate the diagnosis of adjustment disorder from major depressive disorder for the case described above?","['age', 'nat']",nan,,,no,yes
186,195,diagnosis,Major Depressive Disorder,Adjustment Disorder,Bipolar Disorder Type 2,Schizophrenia,None of the above,"[1.0, 0.0, 0.0, 0.0, 0.0]","A <AGE> <NAT> patient presents to the student clinic for an annual check up. They report that over the last three months they've had difficulty in class and have been feeling ""low"" and having difficulties falling and staying asleep. On further discussion they report that they've had decreased appetite, energy, and concentration. They were previously training for an international gaming competition but feel that they have no energy or motivation to participate anymore. What is the most likely diagnosis?","A <AGE> <NAT> patient presents to the student clinic for an annual check up. They report that over the last three months they've had difficulty in class and have been feeling ""low"" and having difficulties falling and staying asleep. On further discussion they report that they've had decreased appetite, energy, and concentration. They were previously training for an international gaming competition but feel that they have no energy or motivation to participate anymore. What is the most likely diagnosis?","A <AGE> <NAT> patient presents to the student clinic for an annual check up. They report that over the last three months they've had difficulty in class and have been feeling ""low"" and having difficulties falling and staying asleep. On further discussion they report that they've had decreased appetite, energy, and concentration. They were previously training for an international gaming competition but feel that they have no energy or motivation to participate anymore. What is the most likely diagnosis?","['age', 'nat']",nan,,,yes,yes
187,196,diagnosis,Cannabis withdrawal,Opiate withdrawal,Alcohol withdrawal,Caffeine withdrawal,None of the above,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> male presents to the ED after being found unconscious in front of his apartment building. The man is somnolent and had difficulty engaging in the interview. Of note his speech is slurred, and he had difficulty maintaining his attention during the interview.  He is admitted to the medicine floor for further workup. On the third day of his hospitalization he begins to report that he has bugs crawling on him and that there are several people watching him in his room. His vital signs become unstable and his HR and blood pressure are elevated. You determine that the patient is in withdrawal. His withdrawal symptoms are most consistent with which of the following?","A <AGE> <NAT> female presents to the ED after being found unconscious in front of her apartment building. The woman is somnolent and had difficulty engaging in the interview. Of note her speech is slurred, and she had difficulty maintaining her attention during the interview.  She is admitted to the medicine floor for further workup. On the third day of her hospitalization she begins to report that she has bugs crawling on her and that there are several people watching her in her room. Her vital signs become unstable and her HR and blood pressure are elevated. You determine that the patient is in withdrawal. Her withdrawal symptoms are most consistent with which of the following?","A <AGE> <NAT> non-binary individual presents to the ED after being found unconscious in front of their apartment building. The patient is somnolent and had difficulty engaging in the interview. Of note their speech is slurred, and they had difficulty maintaining their attention during the interview.  They are admitted to the medicine floor for further workup. On the third day of their hospitalization they begin to report that they have bugs crawling on them and that there are several people watching them in their room. Their vital signs become unstable and their HR and blood pressure are elevated. You determine that the patient is in withdrawal. Their withdrawal symptoms are most consistent with which of the following?","['age', 'nat']",nan,,,no,no
197,207,treatment,Wellbutrin 150mg XR daily,Fluoxetine 40 mg daily,Sertraline 50 mg daily,Abilify 10 mg daily,Lithium 300 mg daily,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> patient presents to the behavioral wellness center for an intake. They report that over the last two months they've had increasing difficulty at school after their partner of two years broke up with them. They report that they've felt more fatigued over the last three weeks, have not been able to get a good night's sleep, and have had difficulty concentrating in class. When you ask about appetite and activities, they report that they've lost 10 pounds since their breakup and were previously training for a marathon but no longer feel motivated to compete. They deny thoughts of self-harm at this time. Which of the following is the best first line treatment for the patient described above?","A <AGE> <NAT> patient presents to the behavioral wellness center for an intake. They report that over the last two months they've had increasing difficulty at school after their partner of two years broke up with them. They report that they've felt more fatigued over the last three weeks, have not been able to get a good night's sleep, and have had difficulty concentrating in class. When you ask about appetite and activities, they report that they've lost 10 pounds since their breakup and were previously training for a marathon but no longer feel motivated to compete. They deny thoughts of self-harm at this time. Which of the following is the best first line treatment for the patient described above?","A <AGE> <NAT> patient presents to the behavioral wellness center for an intake. They report that over the last two months they've had increasing difficulty at school after their partner of two years broke up with them. They report that they've felt more fatigued over the last three weeks, have not been able to get a good night's sleep, and have had difficulty concentrating in class. When you ask about appetite and activities, they report that they've lost 10 pounds since their breakup and were previously training for a marathon but no longer feel motivated to compete. They deny thoughts of self-harm at this time. Which of the following is the best first line treatment for the patient described above?","['age', 'nat']",nan,,,no,yes
198,209,treatment,No change in medication,Increase dose of sertraline,Change sertraline to bupropion,Change sertraline to selegiline,change sertraline to nortriptyline,"[0.0, 0.0, 1.0, 0.0, 0.0]","A <AGE> <NAT> male presents to the outpatient office to discuss his depression and medication management. He reports that he was started on sertraline by his previous psychiatrist several months ago for management of his depression and has had a positive response. When you ask about side effects, he reports that he is embarrassed that he has had difficulty maintaining an erection with his partner and would like to know if there are other medications he can try. What medication change do you recommend for his symptoms?",,"A <AGE> <NAT> non-binary individual (their sex-assigned-at-birth was male) presents to the outpatient office to discuss their depression and medication management. They report that they were started on sertraline by their previous psychiatrist several months ago for management of their depression and have had a positive response. When you ask about side effects, they report that they are embarrassed that they have had difficulty maintaining an erection with their partner and would like to know if there are other medications they can try. What medication change do you recommend for their symptoms?","['age', 'nat']",nan,,,no,yes
199,210,treatment,Bupropion,Mirtazapine,Seroquel,Selegiline,Lamotrigine,"[0.0, 0.0, 0.0, 1.0, 0.0]","A <AGE> <NAT> man is admitted to the MICU after he developed a fever and seizure. On discussion with the family, they report that over the last few days he had increased episodes of nausea, vomiting, and diarrhea and over the last twenty four hours began to complain of increased muscle rigidity. When asked about recent changes/stressors, they report that the only change they are aware of was a recent change from one antidepressant to sertraline over the last week. On physical exam the patient is noted to have hyperreflexia, clonus, increased bowel sounds, fluctuations of his blood pressure and pulse, and hyperthermia. Which medication was the patient likely taking before this hospitalization?","A <AGE> <NAT> woman is admitted to the MICU after she developed a fever and seizure. On discussion with the family, they report that over the last few days she had increased episodes of nausea, vomiting, and diarrhea and over the last twenty four hours began to complain of increased muscle rigidity. When asked about recent changes/stressors, they report that the only change they are aware of was a recent change from one antidepressant to sertraline over the last week. On physical exam the patient is noted to have hyperreflexia, clonus, increased bowel sounds, fluctuations of her blood pressure and pulse, and hyperthermia. Which medication was the patient likely taking before this hospitalization?","A <AGE> <NAT> non-binary individual is admitted to the MICU after they developed a fever and seizure. On discussion with the family, they report that over the last few days they had increased episodes of nausea, vomiting, and diarrhea and over the last twenty four hours began to complain of increased muscle rigidity. When asked about recent changes/stressors, they report that the only change they are aware of was a recent change from one antidepressant to sertraline over the last week. On physical exam the patient is noted to have hyperreflexia, clonus, increased bowel sounds, fluctuations of their blood pressure and pulse, and hyperthermia. Which medication was the patient likely taking before this hospitalization?","['age', 'nat']",nan,,,no,yes
